Date,Open,High,Low,Close,Volume,Market Cap
17-Feb-2022,427.55,431.02,400.81,402.45,1644013199,66451246799
16-Feb-2022,432.49,433.43,423.08,427.92,1670788158,70656455985
15-Feb-2022,403.66,436.25,403.09,432.41,2538883559,71398038456
14-Feb-2022,398.64,403.93,391.38,403.66,1269083662,66651161136
13-Feb-2022,403.27,406.71,395.66,398.89,1151509777,65862892979
12-Feb-2022,400.5,407.14,394.8,403.39,1372516416,66606405568
11-Feb-2022,415.19,419.29,393.98,400.42,1714654174,66116449646
10-Feb-2022,422.51,434.17,411.25,415.12,2037888603,68543142480
9-Feb-2022,408.52,427.39,407.95,422.47,1601745132,69756144860
8-Feb-2022,433.46,444.29,407.16,408.78,2247004672,67495894818
7-Feb-2022,419.67,438.64,414.25,433.23,1755674427,71533416664
6-Feb-2022,414.22,421.11,408.61,419.55,1427593921,69274003461
5-Feb-2022,399.15,430.35,396.93,414.2,2039010962,68391365210
4-Feb-2022,370.71,399.22,369.82,399.03,1711084752,65886476170
3-Feb-2022,367.37,370.88,360.49,370.88,1202744039,61238131890
2-Feb-2022,385.49,386.11,366.9,367.47,1290849744,60675734271
1-Feb-2022,375.1,387.77,374.33,385.46,1392647608,63646536971
31-Jan-2022,377.65,384.98,366.11,375.28,1386778184,61964576590
30-Jan-2022,389.2,389.25,373.04,377.61,1289330238,62350221471
29-Jan-2022,386.07,396.77,381.68,389.13,1330610935,64252345527
28-Jan-2022,390,393.38,376.75,386.08,1592850476,63749004175
27-Jan-2022,375.54,391.8,360.33,390.09,1952844398,64410112333
26-Jan-2022,384.59,400.15,367.58,375.76,2226973227,62043525509
25-Jan-2022,371.39,387.18,358.08,384.62,2325661159,63507103572
24-Jan-2022,384.04,384.04,337.85,371.37,3210871602,61319239193
23-Jan-2022,358.33,388.59,357.17,383.93,2786834863,63393933785
22-Jan-2022,383.47,388.91,340.05,358.1,4226932408,59127680060
21-Jan-2022,440.07,444.18,376.77,383.07,3647221590,63251925838
20-Jan-2022,462.86,478.35,439.98,440.01,1881741995,72652270854
19-Jan-2022,471.92,472.77,454.76,462.82,1780063381,76419685290
18-Jan-2022,475.74,479.66,458.15,472.01,2106859289,77935945161
17-Jan-2022,498.51,498.94,468.58,475.71,2134608006,79348951880
16-Jan-2022,494.92,505.3,489.5,498.43,1771927950,83138350006
15-Jan-2022,489.92,501.31,486.31,494.99,1766015929,82564578043
14-Jan-2022,475.13,491.66,468.94,489.87,3112235914,81710448741
13-Jan-2022,487.04,488.21,467.88,475.03,4151007744,79235401456
12-Jan-2022,463.56,489.33,457.12,487.01,4131335431,81233396504
11-Jan-2022,424.89,467.28,422,463.52,4600615710,77315387871
10-Jan-2022,438.79,445.04,408.7,424.93,4156063326,70879440367
9-Jan-2022,430.25,444.49,428.24,438.8,3347862691,73192856244
8-Jan-2022,447.86,458.48,419.2,430.25,4068139021,71765554064
7-Jan-2022,473,474.3,439.26,447.79,4613172287,74691631587
6-Jan-2022,475.08,481.06,460.25,473.28,4400228627,78942916084
5-Jan-2022,507.6,515.24,462.06,475.06,2870757788,79240041765
4-Jan-2022,512.13,519.7,503.22,507.51,2200879165,84652601973
3-Jan-2022,531.39,532.1,510.65,512.14,1949153130,85424866707
2-Jan-2022,527.29,533.37,518.75,531.4,1462276185,88637570485
1-Jan-2022,511.91,527.35,511.9,527.35,1622547014,87963039449
31-Dec-2021,519.12,527.7,507.89,511.71,2020489898,85353536222
30-Dec-2021,514.57,527.57,509,518.91,1950603827,86554742526
29-Dec-2021,534.85,540.62,511.75,514,2159325741,85735918898
28-Dec-2021,563.59,563.59,530.06,534.93,2791585162,89226607256
27-Dec-2021,546.51,571.55,543.51,562.64,2180356553,93849249478
26-Dec-2021,547.32,549.41,537.46,546.99,1576727325,91239389442
25-Dec-2021,542.47,550.87,540.55,547.33,1305388019,91294641313
24-Dec-2021,549,554.13,538.23,541.9,1677259160,90389882921
23-Dec-2021,533.72,552.53,524.78,548.73,1867124970,91528095407
22-Dec-2021,528.77,544.65,527.64,533.64,1597323976,89012591912
21-Dec-2021,523.39,535.11,517.76,528.71,1461697111,88189598447
20-Dec-2021,529.73,534.78,506.37,523.16,1467380399,87264103150
19-Dec-2021,534.02,543.75,527.77,529.97,1199582659,88399940790
18-Dec-2021,526.17,537.82,517.32,533.89,1294574825,89053694756
17-Dec-2021,526.15,535.43,511.7,525.71,1804795681,87688418217
16-Dec-2021,541.4,545.15,525.12,526.25,1500825557,87778523353
15-Dec-2021,528.43,546.58,503.04,541.03,2079796859,90243922553
14-Dec-2021,520.63,536.3,510.42,511.23,2232411089,85273644407
13-Dec-2021,571.18,572.88,512,521.01,1900967743,86905337453
12-Dec-2021,564.14,574.19,559.52,570.82,1307635490,95214089647
11-Dec-2021,553.67,572.19,542.57,564.32,1824951693,94129640886
10-Dec-2021,570.98,594.6,551.74,552.97,2089946472,92235504807
9-Dec-2021,606.64,616.65,568.04,571.65,2132955304,95351710277
8-Dec-2021,579.18,607.78,567.62,607.59,2245501623,1.01347E+11
7-Dec-2021,589.11,593.8,573.34,579.69,2112954675,96692935325
6-Dec-2021,557.95,593.38,534.26,589.26,3567503629,98288607021
5-Dec-2021,568.65,581.81,543.64,557.78,2394235567,93038857104
4-Dec-2021,596.15,596.15,495.13,569.08,4458419873,94922740404
3-Dec-2021,620.3,628.32,579.85,594.64,2483348354,99185970165
2-Dec-2021,627.57,629.88,606.65,619.47,2378758113,1.03328E+11
1-Dec-2021,621.81,650.25,619.2,627.97,2806563703,1.04746E+11
30-Nov-2021,623.96,635.13,604.87,622.67,2781531694,1.03862E+11
29-Nov-2021,611.76,628.5,602.44,624.31,2425803182,1.04136E+11
28-Nov-2021,601.01,612.74,574.55,611.37,2731676788,1.01977E+11
27-Nov-2021,587.1,621.39,584.79,600.34,2485529516,1.00137E+11
26-Nov-2021,639,657.51,566.53,585.15,4254504824,97603244497
25-Nov-2021,590.36,646.96,587.86,603.73,2537227998,1.00703E+11
24-Nov-2021,591.2,594.83,577.51,581.4,2917418688,96977406579
23-Nov-2021,559.57,605.09,559.04,591.44,2927434189,98652799496
22-Nov-2021,584.82,585.15,554.27,559.13,2251971535,93263023437
21-Nov-2021,604.41,605.18,580.59,585.29,2055539646,97627756571
20-Nov-2021,581.48,604.88,574.02,603.84,2336197759,1.00721E+11
19-Nov-2021,531.51,585.9,525.24,581.53,2481119529,97000012441
18-Nov-2021,578.03,587.91,518.42,532.24,2917116815,88777841988
17-Nov-2021,589.33,593.11,554.32,578.09,2704847734,96426540285
16-Nov-2021,634.95,635.26,574.18,589.82,3772957260,98383134422
15-Nov-2021,650.94,660.04,631.94,633.05,2146877925,1.05593E+11
14-Nov-2021,650.06,659.99,634.55,650.92,2101401990,1.08574E+11
13-Nov-2021,627.08,655.32,620.59,650.1,2106170805,1.08438E+11
12-Nov-2021,629.14,634.52,604.16,626.64,2209163398,1.04525E+11
11-Nov-2021,615.46,634.84,606.41,629.89,2341652507,1.05067E+11
10-Nov-2021,635.04,662.31,578.07,615.28,3653998344,1.02629E+11
9-Nov-2021,654,657.04,632.33,635.19,2198989754,1.05951E+11
8-Nov-2021,650.47,655.71,632.69,654.32,2828112534,1.0914E+11
7-Nov-2021,638.19,669.35,632.08,650.45,3017167868,1.08496E+11
6-Nov-2021,608.26,636.11,596.76,636.11,2779927044,1.06105E+11
5-Nov-2021,559.39,615.58,555.06,608.65,3675930507,1.01523E+11
4-Nov-2021,568.58,569.12,544.88,559.74,2260479871,93364822674
3-Nov-2021,554.56,570.26,538.53,568.58,2567651316,94839595201
2-Nov-2021,551.75,564.02,538.4,554.45,2401108112,92482499526
1-Nov-2021,524.74,552.07,512.18,551.26,2535579529,91950123403
31-Oct-2021,528.55,534.77,510.57,524.36,2076289915,87464591883
30-Oct-2021,529.82,539.94,511.93,527.92,2194893915,88057857876
29-Oct-2021,492.43,533.48,488.87,529.62,2667451365,88341575257
28-Oct-2021,448.89,494.91,447.62,492.02,2626956133,82068758214
27-Oct-2021,478.12,486.17,440.45,449.01,2340091135,74895051000
26-Oct-2021,484.71,489.77,475.29,478.03,1486193826,79735125437
25-Oct-2021,475.92,488.89,474.87,484.65,1337787876,80839354325
24-Oct-2021,485.99,486.8,468.2,476.63,1246191889,79502953197
23-Oct-2021,478.94,485.91,473.11,485.91,1170864603,81049752405
22-Oct-2021,470.96,498.01,470.96,478.64,1962748496,79838228572
21-Oct-2021,501.35,504.65,467.42,471.26,3081793454,78606195340
20-Oct-2021,488.05,505.27,482.25,501.02,1890415594,83570766547
19-Oct-2021,485.1,497.26,481.97,488.15,1844483840,81423791416
18-Oct-2021,470.91,487.5,467.58,485.11,1999805026,80917073472
17-Oct-2021,465.72,472.3,455.41,470.63,1646437501,79129584115
16-Oct-2021,473.99,483.56,463.51,465.64,1904086807,78291740271
15-Oct-2021,472.6,476.76,453.9,473.7,2804538828,79646957974
14-Oct-2021,470.54,482.64,461.86,472.02,2486819344,79364447301
13-Oct-2021,444.41,471.66,434.45,470.75,5149146903,79150456720
12-Oct-2021,413.49,443.87,392.57,443.87,3142304145,74630567195
11-Oct-2021,404.53,423.55,401.22,413.46,1473121389,69517303385
10-Oct-2021,421.8,422.05,402.83,405.07,1437068558,68107150217
9-Oct-2021,418.76,425.97,416.82,421.55,1404867667,70878080193
8-Oct-2021,438.48,441.51,416.71,419.1,2678048368,70466575273
7-Oct-2021,434.96,449.94,424.31,438.76,1962989705,73772100893
6-Oct-2021,442.41,442.48,415.67,435.4,2006344571,73207096124
5-Oct-2021,426.21,443.91,424.11,442.71,1526827785,74435300873
4-Oct-2021,430.58,430.73,411.95,425.75,1647171955,71584155969
3-Oct-2021,427.35,437.1,421.94,430.51,1470899248,72384475442
2-Oct-2021,421.48,438.11,411.04,428.1,1740937420,71979183952
1-Oct-2021,387.64,423.34,382.13,421.64,2162493378,70893833854
30-Sep-2021,367.79,388.27,366.64,387.06,1796235646,65078675600
29-Sep-2021,333.4,375.01,331.45,367.99,2385693434,61872678075
28-Sep-2021,335.81,344.28,330.07,333.03,1294330921,55995113612
27-Sep-2021,344.65,357.29,335.79,336.19,1507056912,56526197213
26-Sep-2021,349.88,352.7,320.37,344.18,1958526741,57869701517
25-Sep-2021,355.41,360.63,344.19,349.88,1388464569,58827802628
24-Sep-2021,383.81,385.32,335.51,355.32,2081157733,59741824473
23-Sep-2021,379.16,384.78,369.65,383.82,1576382603,64534425211
22-Sep-2021,343.67,380.01,342.68,379.44,1678913732,63797974297
21-Sep-2021,364.05,375.67,339.01,344.53,2045164899,57929028275
20-Sep-2021,408.51,409.64,357.27,361.97,2344102082,60859875927
19-Sep-2021,410.6,419.18,403.72,408.47,1243314915,68679211878
18-Sep-2021,406.46,420,401.78,410.81,1310349981,69072258020
17-Sep-2021,424.4,425.77,401.84,406.63,1516642578,68370034174
16-Sep-2021,431.29,433.19,416.18,424.65,1720989872,71399263250
15-Sep-2021,414.49,436.42,410.45,431.42,1838828414,72538191093
14-Sep-2021,399.21,414.32,396.42,414.24,1598465255,69648451200
13-Sep-2021,416.8,419.28,385.38,399.06,2194763765,67097343215
12-Sep-2021,405.4,421.21,398.03,416.68,1671909230,70059881720
11-Sep-2021,401.26,415.36,400.3,405.53,1567255682,68184168765
10-Sep-2021,421.27,438.92,394.06,401.62,2306735739,67527500370
